Common Name,Standardized Name,Scientific Name,Yield Search
European beech,european_beech,Fagus sylvatica,Buche
Norway spruce,norway_spruce,Picea abies,Fichte
Scots pine,scots_pine,Pinus sylvestris,Kiefer
Silver fir,silver_fir,Abies alba,Tanne
Grand fir,grand_fir,Abies grandis,
European oak,european_oak,Quercus robur,Eiche
Red oak,red_oak,Quercus rubra,Roteiche
White oak,white_oak,Quercus alba,
Sweet chestnut,sweet_chestnut,Castanea sativa,Edelkastanie
Common ash,common_ash,Fraxinus excelsior,Esche
Narrow-leaved ash,narrow_leaved_ash,Fraxinus angustifolia,
One-leaved ash,one_leaved_ash,"Fraxinus excelsior 'Diversifolia'",
Downy birch,downy_birch,Betula pubescens,Birke
Silver birch,silver_birch,Betula pendula,Birke
Paper birch,paper_birch,Betula papyrifera,
Black alder,black_alder,Alnus glutinosa,Erle
Hornbeam,hornbeam,Carpinus betulus,Hainbuche
Hazel,hazel,Corylus avellana,
Field maple,field_maple,Acer campestre,
Sycamore maple,sycamore_maple,Acer pseudoplatanus,
Japanese maple,japanese_maple,Acer palmatum,
Horse chestnut,horse_chestnut,Aesculus hippocastanum,
Small-leaved linden,small_leaved_linden,Tilia cordata,Winterlinde
Wild cherry,wild_cherry,Prunus avium,
Japanese cherry,japanese_cherry,Prunus serrulata,
"Rowan / Mountain ash",rowan_mountain_ash,Sorbus aucuparia,
Wild apple,wild_apple,Malus sylvestris,
Willow,willow,Salix alba,Weide
Weeping willow,weeping_willow,Salix babylonica,
Grey poplar,grey_poplar,Populus x canescens,Pappel
Italian poplar,italian_poplar,Populus x canadensis,Pappel
Aspen,aspen,Populus tremula,
Elm,elm,Ulmus minor,
Yew,yew,Taxus baccata,
Austrian pine,austrian_pine,Pinus nigra,Schwarzkiefer
Lodgepole pine,lodgepole_pine,Pinus contorta,
Longleaf pine,longleaf_pine,Pinus palustris,
Monterey pine,monterey_pine,Pinus radiata,
Ponderosa pine,ponderosa_pine,Pinus ponderosa,
Stone pine,stone_pine,Pinus pinea,
Western hemlock,western_hemlock,Tsuga heterophylla,
Western redcedar,western_redcedar,Thuja plicata,
Swamp cypress,swamp_cypress,Taxodium distichum,
Hackberry,hackberry,Celtis occidentalis,
Honey locust,honey_locust,Gleditsia triacanthos,
Robinia,robinia,Robinia pseudoacacia,Robinie
Umbrella acacia,umbrella_acacia,Robinia umbraculifera,
Ginkgo biloba,ginkgo_biloba,Ginkgo biloba,
Walnut,walnut,Juglans regia,
Wingnut,wingnut,Pterocarya fraxinifolia,
Avocado,avocado,Persea americana,
Magnolia,magnolia,Magnolia x soulangeana,
Blue gum,blue_gum,Eucalyptus globulus,
Manna gum,manna_gum,Eucalyptus viminalis,
Black tupelo,black_tupelo,Nyssa sylvatica,
London plane tree,london_plane_tree,Platanus x acerifolia,
Douglas fir,douglas_fir,Pseudotsuga menziesii,Douglasie
European larch,european_larch,Larix decidua,Laerche
Japanese larch,japanese_larch,Larix kaempferi,
Sitka spruce,sitka_spruce,Picea sitchensis,
